Date,Cases_Mean,Cases_LB,Cases_UB,Deaths_Mean,Deaths_LB,Deaths_UB,hospitalized_best,hospitalized_mean,hospitalized_worst,ICU_best,ICU_mean,ICU_worst,total_beds,regular_bed_supply_best,regular_bed_supply_mean,regular_bed_supply_worst,total_ICU_beds,ICU_bed_supply_best,ICU_bed_supply_mean,ICU_bed_supply_worst,patient_vent_lb,patient_vent_mean,patient_vent_ub,total_vents,open_vents_lb,open_vents_mean,open_vents_ub,med_tech,med_tech_active,med_tech_supply,med_tech_demand,nurse,nurse_active,nurse_supply,nurse_demand,phys,phys_active,phys_supply,phys_demand,resp,resp_active,resp_supply,resp_demand
2020-02-26,1,0,1,0,0,0,0.21,0.26,0.31,0.05,0.085,0.12,9024.4,9024.19,9024.14,9024.09,1085,1084.95,1084.915,1084.88,0.0136,0.0391,0.0595,2325,2324.9864,2324.9609,2324.9405,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-02-27,1,1,1,0,0,0,0.21,0.26,0.31,0.05,0.085,0.12,9024.4,9024.19,9024.14,9024.09,1085,1084.95,1084.915,1084.88,0.0136,0.0391,0.0595,2325,2324.9864,2324.9609,2324.9405,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-02-28,1,1,1,0,0,0,0.21,0.26,0.31,0.05,0.085,0.12,9024.4,9024.19,9024.14,9024.09,1085,1084.95,1084.915,1084.88,0.0136,0.0391,0.0595,2325,2324.9864,2324.9609,2324.9405,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-02-29,1,1,2,0,0,0,0.21,0.26,0.31,0.05,0.085,0.12,9024.4,9024.19,9024.14,9024.09,1085,1084.95,1084.915,1084.88,0.0136,0.0391,0.0595,2325,2324.9864,2324.9609,2324.9405,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-01,2,1,2,0,0,0,0.42,0.52,0.62,0.1,0.17,0.24,9024.4,9023.98,9023.88,9023.78,1085,1084.9,1084.83,1084.76,0.0272,0.0782,0.119,2325,2324.9728,2324.9218,2324.881,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-02,2,2,3,0,0,0,0.42,0.52,0.62,0.1,0.17,0.24,9024.4,9023.98,9023.88,9023.78,1085,1084.9,1084.83,1084.76,0.0272,0.0782,0.119,2325,2324.9728,2324.9218,2324.881,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-03,3,2,4,0,0,0,0.63,0.78,0.93,0.15,0.255,0.36,9024.4,9023.77,9023.62,9023.47,1085,1084.85,1084.745,1084.64,0.0408,0.1173,0.1785,2325,2324.9592,2324.8827,2324.8215,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-04,4,3,5,0,0,0,0.84,1.04,1.24,0.2,0.34,0.48,9024.4,9023.56,9023.36,9023.16,1085,1084.8,1084.66,1084.52,0.0544,0.1564,0.238,2325,2324.9456,2324.8436,2324.762,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-05,6,4,7,0,0,0,1.26,1.56,1.86,0.3,0.51,0.72,9024.4,9023.14,9022.84,9022.54,1085,1084.7,1084.49,1084.28,0.0816,0.2346,0.357,2325,2324.9184,2324.7654,2324.643,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-06,7,6,9,0,0,0,1.47,1.82,2.17,0.35,0.595,0.84,9024.4,9022.93,9022.58,9022.23,1085,1084.65,1084.405,1084.16,0.0952,0.2737,0.4165,2325,2324.9048,2324.7263,2324.5835,0,,,,0,,,,10703,3820.971,,1,0,,,
